gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_00001	747	589	210	3	698	462	74	24	667	514	413	1	609	498	370	2	540	400	194	19	727	635	9	3
SUPERPANG_00002	5606	4183	1295	16	5367	3871	723	225	4888	4007	3441	13	4692	4093	2847	20	4488	2808	1409	222	5097	4456	76	43
SUPERPANG_00003	4447	3281	983	11	4178	2934	550	239	3658	2927	2962	9	3434	2969	2116	12	3511	2064	1028	137	3900	3232	62	21
SUPERPANG_00004	2019	1405	421	10	1682	1249	238	78	1714	1185	1199	4	1396	1352	924	9	1690	960	433	49	1774	1368	24	19
SUPERPANG_00005	12602	9584	3013	71	12310	8876	1797	537	12056	8903	8223	77	10009	9232	6175	76	10692	6528	3321	445	12437	9494	178	97
SUPERPANG_00006	6405	7656	1904	44	8003	7039	977	458	9708	7310	5416	16	6206	7492	4955	58	7916	4861	2770	318	9879	7581	117	62
SUPERPANG_00007	14596	9715	3314	56	12869	8759	1965	595	18632	9268	8574	20	10817	9591	6285	62	11899	6678	4598	439	15955	10595	206	103
SUPERPANG_00008	13072	9622	2955	56	12352	8990	1600	568	15514	8834	8059	32	9693	9354	6377	66	11027	6254	5037	395	14780	9957	186	92
SUPERPANG_00009	12975	8437	2673	58	11742	7985	1603	544	16596	8205	8093	31	9776	8347	5586	58	10576	5786	6818	467	14444	9165	192	103
SUPERPANG_00010	11268	7855	2616	36	10142	7051	1385	430	11075	7152	6853	32	8579	7430	4774	43	9289	4974	3874	398	11605	8423	140	82
SUPERPANG_00011	13234	12896	3650	72	15449	11883	1703	837	13279	11911	8745	159	11412	12211	8414	142	12283	8317	4160	532	14752	12699	264	182
SUPERPANG_00012	4387	4668	1175	37	5227	4451	509	264	4534	4472	2827	15	4189	4586	3199	36	3837	3128	1421	179	5113	4472	78	40
SUPERPANG_00013	18461	14139	4593	63	19234	13746	2301	850	17873	14050	12124	72	14691	14350	9686	91	15628	9836	5430	633	18008	15459	284	145
SUPERPANG_00014	3511	2935	911	25	3607	2682	470	197	3426	2617	2246	11	2644	2814	1865	20	2900	1952	982	143	3212	2999	45	41
SUPERPANG_00015	8803	7498	2102	32	9370	6659	1121	462	9183	6906	6183	25	6902	7119	4934	46	8272	4741	2902	281	8767	7421	144	41
SUPERPANG_00016	7476	5164	1565	24	6695	5032	852	307	8458	4921	5010	9	5891	5279	3250	29	6443	3548	2711	275	7249	5505	116	44
SUPERPANG_00017	9938	6928	2133	36	9418	6627	1195	376	11491	6676	6406	22	7985	6598	4665	56	8838	4280	3409	299	9050	7765	162	58
SUPERPANG_00018	6651	5500	1665	42	7034	5297	969	345	6392	5608	4533	3	5490	5438	3817	25	5881	3588	2083	250	5810	5758	99	65
SUPERPANG_00019	9592	19566	3179	93	13472	18657	2074	1340	12339	17063	7748	72	12154	17591	13405	133	14275	11346	4326	653	15821	13319	276	253
