sample_id	pangenome_size	covered_genes	fraction_covered	mean_coverage	marker_coverage	aligned_reads	mapped_reads
midas_1EE_S42_Xp_blk	4614	4611	0.9993498049414824	1142.9328263439102	1175.2513484358658	48827707	43680349
midas_1EM_S18_Xp_blk	4614	4612	0.9995665366276549	913.1276449899925	855.2016460905503	38985263	34699382
midas_1XE_S43_Xp_blk	4614	4611	0.9993498049414824	281.3660794127934	263.7296747967498	12430166	10652021
midas_1XM_S19_Xp_blk	4614	4566	0.9895968790637191	5.629094609206787	4.049382716049381	771875	220782
midas_2EE_S44_Xp_blk	4614	4611	0.9993498049414824	1104.8000830196784	1142.8295577130962	46816077	41783120
midas_2EM_S20_Xp_blk	4614	4612	0.9995665366276549	845.1140455905294	812.626984126966	36215797	32276542
midas_2XE_S45_Xp_blk	4614	4613	0.9997832683138275	144.41396774103285	137.5217391304349	7052754	5482007
midas_2XM_S21_Xp_blk	4614	4568	0.9900303424360641	53.91288232292144	49.089371980676376	2748873	2096274
midas_3EE_S46_Xp_blk	4614	4611	0.9993498049414824	1204.6442080721008	1043.5985663082672	51201242	45737624
midas_3EM_S22_Xp_blk	4614	4612	0.9995665366276549	875.5536167647145	815.1316872428135	37293127	33294500
midas_3XE_S47_Xp_blk	4614	4611	0.9993498049414824	735.8459247534503	743.9226190476948	31468720	27781188
midas_3XM_S23_Xp_blk	4614	4432	0.9605548331166016	4.293622719425572	2.8745704467353947	926311	168014
midas_4EE_S48_Xp_blk	4614	4612	0.9995665366276549	908.842860292091	920.2420634921692	38426669	34292417
midas_4EM_S24_Xp_blk	4614	4612	0.9995665366276549	899.3015617832461	861.7619047619987	38158316	33838392
midas_4XE_S49_Xp_blk	4614	4612	0.9995665366276549	585.7580424317466	570.0360824742207	25405863	22511040
midas_4XM_S25_Xp_blk	4614	4596	0.9960988296488946	7.35908218243329	7.796771130104461	963141	292094
midas_5EE_S50_Xp_blk	4614	4612	0.9995665366276549	912.6641272612151	909.9806763285225	40670569	36536015
midas_5EM_S26_Xp_blk	4614	4611	0.9993498049414824	619.1744719450444	576.1699735450212	26524968	23449040
midas_5XE_S51_Xp_blk	4614	4611	0.9993498049414824	373.16028216059766	325.2896486229808	16406631	14377762
midas_5XM_S27_Xp_blk	4614	4594	0.9956653662765497	41.38761232612627	36.861111111111114	2286529	1570431
midas_6EE_S52_Xp_blk	4614	4611	0.9993498049414824	1202.6686114325098	1087.1707818930238	52155725	46614829
midas_6EM_S28_Xp_blk	4614	4612	0.9995665366276549	944.2378959037793	880.8281786941461	40625724	36477602
midas_6XE_S53_Xp_blk	4614	4607	0.9984828781967924	18.931015809808727	20.14245014245014	1357449	727570
midas_6XM_S29_Xp_blk	4614	4589	0.994581707845687	10.328573243142808	8.327160493827158	878392	392898
