query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
SUPERPANG_0_length=171158_1_1,316273.XCV3169,2.15E-73,224,"COG2353@1|root,COG2353@2|Bacteria,1RHEW@1224|Proteobacteria,1S6XG@1236|Gammaproteobacteria,1X60U@135614|Xanthomonadales",135614|Xanthomonadales,S,Belongs to the UPF0312 family,-,-,-,-,-,-,-,-,-,-,-,-,YceI
SUPERPANG_0_length=171158_2_1,317013.NY99_05850,2.69E-142,400,"COG3038@1|root,COG3038@2|Bacteria,1MZ7X@1224|Proteobacteria,1S6Y7@1236|Gammaproteobacteria,1X5Y5@135614|Xanthomonadales",135614|Xanthomonadales,C,Cytochrome B561,yodB,-,-,ko:K12262,-,-,-,-,ko00000,-,-,-,Ni_hydr_CYTB
SUPERPANG_0_length=171158_3_1,316273.XCV3171,8.25E-129,366,"COG2353@1|root,COG2353@2|Bacteria,1R5CT@1224|Proteobacteria,1SG12@1236|Gammaproteobacteria,1X6BJ@135614|Xanthomonadales",135614|Xanthomonadales,S,Belongs to the UPF0312 family,-,-,-,-,-,-,-,-,-,-,-,-,YceI
SUPERPANG_0_length=171158_4_1,316273.XCV3172,2.04E-48,159,"COG0695@1|root,COG0695@2|Bacteria,1NH8Z@1224|Proteobacteria,1SGAT@1236|Gammaproteobacteria,1X87J@135614|Xanthomonadales",135614|Xanthomonadales,O,thiol-disulfide isomerase and,-,-,-,-,-,-,-,-,-,-,-,-,DUF836
SUPERPANG_0_length=171158_5_1,316273.XCV3173,0,914,"COG1760@1|root,COG1760@2|Bacteria,1MUZN@1224|Proteobacteria,1RMJZ@1236|Gammaproteobacteria,1X3P1@135614|Xanthomonadales",135614|Xanthomonadales,E,Serine dehydratase,sdaA,-,4.3.1.17,ko:K01752,"ko00260,ko00270,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00270,map01100,map01110,map01130,map01200,map01230",-,"R00220,R00590","RC00331,RC02600","ko00000,ko00001,ko01000",-,-,-,"SDH_alpha,SDH_beta"
SUPERPANG_0_length=171158_6_1,316273.XCV3174,3.19E-241,664,"COG0596@1|root,COG0596@2|Bacteria,1QU1E@1224|Proteobacteria,1T1M0@1236|Gammaproteobacteria,1X4JR@135614|Xanthomonadales",135614|Xanthomonadales,S,Alpha beta hydrolase,-,-,-,-,-,-,-,-,-,-,-,-,Abhydrolase_1
SUPERPANG_0_length=171158_7_1,316273.XCV3175,2.05E-254,698,"COG0460@1|root,COG0460@2|Bacteria,1MUDC@1224|Proteobacteria,1RPEU@1236|Gammaproteobacteria,1X5F4@135614|Xanthomonadales",135614|Xanthomonadales,E,homoserine dehydrogenase,metL,-,"1.1.1.3,2.7.2.4","ko:K00003,ko:K12524","ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00017,M00018,M00526,M00527","R00480,R01773,R01775","RC00002,RC00043,RC00087","ko00000,ko00001,ko00002,ko01000",-,-,-,"Homoserine_dh,NAD_binding_3"
SUPERPANG_0_length=171158_8_1,316273.XCV3176,2.85E-285,780,"COG0626@1|root,COG0626@2|Bacteria,1MU57@1224|Proteobacteria,1RMCV@1236|Gammaproteobacteria,1X4AH@135614|Xanthomonadales",135614|Xanthomonadales,E,cystathionine,metB,-,2.5.1.48,ko:K01739,"ko00270,ko00450,ko00920,ko01100,ko01110,ko01130,ko01230,map00270,map00450,map00920,map01100,map01110,map01130,map01230",M00017,"R00999,R01288,R02508,R03217,R03260,R04944,R04945,R04946","RC00020,RC00056,RC00069,RC00420,RC02848,RC02866","ko00000,ko00001,ko00002,ko01000",-,-,-,Cys_Met_Meta_PP
SUPERPANG_0_length=171158_9_1,316273.XCV3177,1.64E-239,659,"COG2021@1|root,COG2021@2|Bacteria,1MVJV@1224|Proteobacteria,1RXCB@1236|Gammaproteobacteria,1X4WJ@135614|Xanthomonadales",135614|Xanthomonadales,E,Belongs to the AB hydrolase superfamily. MetX family,metXS,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004414,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008374,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009092,GO:0009987,GO:0016053,GO:0016407,GO:0016413,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.3.1.31,ko:K00641,"ko00270,ko01100,ko01130,map00270,map01100,map01130",-,R01776,"RC00004,RC00041","ko00000,ko00001,ko01000",-,-,-,Abhydrolase_1
SUPERPANG_0_length=171158_10_1,366649.XFF4834R_chr15990,2.10E-225,623,"COG0739@1|root,COG0739@2|Bacteria,1N19D@1224|Proteobacteria,1S8IP@1236|Gammaproteobacteria,1X7A0@135614|Xanthomonadales",135614|Xanthomonadales,M,Peptidase family M23,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M23
SUPERPANG_0_length=171158_11_1,316273.XCV3179,0,1058,"COG4108@1|root,COG4108@2|Bacteria,1MU7X@1224|Proteobacteria,1RMFT@1236|Gammaproteobacteria,1X453@135614|Xanthomonadales",135614|Xanthomonadales,J,"Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP",prfC,"GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016150,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02837,-,-,-,-,"ko00000,ko03012",-,-,-,"GTP_EFTU,GTP_EFTU_D2,RF3_C"
SUPERPANG_0_length=171158_12_1,316273.XCV3180,1.06E-150,424,"COG1272@1|root,COG1272@2|Bacteria,1PGRH@1224|Proteobacteria,1RR4R@1236|Gammaproteobacteria,1X3JH@135614|Xanthomonadales",135614|Xanthomonadales,S,hemolysin III,hly3,-,-,ko:K11068,-,-,-,-,"ko00000,ko02042",-,-,-,HlyIII
SUPERPANG_0_length=171158_13_1,316273.XCV3181,0,1282,"COG2982@1|root,COG2982@2|Bacteria,1MUAN@1224|Proteobacteria,1RNZM@1236|Gammaproteobacteria,1X4Z4@135614|Xanthomonadales",135614|Xanthomonadales,M,protein involved in outer membrane biogenesis,asmA,-,-,ko:K07290,-,-,-,-,ko00000,9.B.121,-,-,AsmA
