contig	source	pi	num_snps	contig_len	theta	snps_present
SUPERPANG_0_length=171158	1EE_S42.pan.rmd.sort	0	10	171158	1.99529634066428e-05	TRUE
SUPERPANG_0_length=171158	1EM_S18.pan.rmd.sort	4.67524574260435e-06	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	1XE_S43.pan.rmd.sort	3.77915697527185e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	2EE_S44.pan.rmd.sort	1.7012699785588e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	2EM_S20.pan.rmd.sort	1.16881143565109e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	2XE_S45.pan.rmd.sort	4.28554175091652e-05	17	171158	3.39186502092468e-05	TRUE
SUPERPANG_0_length=171158	3EE_S46.pan.rmd.sort	5.84405717825543e-06	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	3EM_S22.pan.rmd.sort	7.0129095977512e-06	12	171158	2.39432762313142e-05	TRUE
SUPERPANG_0_length=171158	3XE_S47.pan.rmd.sort	4.12980040596717e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	4EE_S48.pan.rmd.sort	1.40258191955024e-05	12	171158	2.39432762313142e-05	TRUE
SUPERPANG_0_length=171158	4EM_S24.pan.rmd.sort	1.7012699785588e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	4XE_S49.pan.rmd.sort	2.92202858912772e-05	13	171158	2.68552830915483e-05	TRUE
SUPERPANG_0_length=171158	5EE_S50.pan.rmd.sort	2.49346439605565e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	5EM_S26.pan.rmd.sort	1.61036242245261e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	5XE_S51.pan.rmd.sort	5.71292054885586e-05	51	171158	0.000101735736418608	TRUE
SUPERPANG_0_length=171158	5XM_S27.pan.rmd.sort	5.11560089484065e-05	53	171158	0.00010946133544111	TRUE
SUPERPANG_0_length=171158	6EE_S52.pan.rmd.sort	1.97399264687739e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_0_length=171158	6EM_S28.pan.rmd.sort	2.49346439605565e-05	13	171158	2.59383976642254e-05	TRUE
SUPERPANG_100_length=177249	1EE_S42.pan.rmd.sort	4.13744595461222e-05	465	177249	0.000927375859730664	TRUE
